Id;Nombre;Apellido1;Apellido2;Sexo;Usuario;Contrase�a;Correo;Nacimiento;Edad;Ingresos;Divorcio;NumeroLikesRecibidos;NumeroLikesOtorgados;NumeroMatches;Estado;Estatura
200;Jorge;Abad;García;H;jorgeabad;443412;jorgeabad@mail.net;30/01/1950;69;354,45;No aplica;34;90;4;Disponible;
201;�?ngel;González;Conde;H;agonzalez;445634;agonzalez@mail.es;27/11/1958;60;957,86;No aplica;61;78;6;Disponible;
202;Marina;Casas;Amores;M;marcasas;447856;marcasas@correo.com;23/11/1971;47;No aplica;SI;75;98;9;Inactivo;
203;Beatriz;Catalán;González;M;beacatalan;450078;beacatalan@email.com;23/05/1993;26;No aplica;SI;45;80;3;Disponible;
204;Miguel;Marco;Peláez;H;mig.marco;452300;mig.marco@correo.com;6/06/1953;66;704,58;No aplica;46;12;1;Inactivo;
205;Carmen;Fernández;Tejedor;M;carfernandez;454522;carfernandez@correo.es;8/01/1948;71;No aplica;NO;9;90;0;Inactivo;
206;Enrique;Rodríguez;Mena;H;enrrodriguez;456744;enrrodriguez@mail.com;9/09/1953;66;443,1;No aplica;36;23;1;Disponible;
207;Juana;Cabrera;Sánchez;M;jua.cabrera;458966;jua.cabrera@mail.net;5/04/1971;48;No aplica;SI;78;15;2;Disponible;
208;Pablo;Esteve;Galán;H;pabloesteve;461188;pabloesteve@mail.es;11/09/1988;31;303,27;No aplica;73;42;2;Disponible;
209;Manuel;Carrión;Fernández;H;manuelcarrion;463410;manuelcarrion@email.com;17/08/1962;57;297,56;No aplica;80;51;5;Disponible;
210;Alicia;Sáez;Gómez;M;alisaez;465632;alisaez@mail.net;19/03/1935;84;No aplica;NO;3;6;0;Inactivo;
211;Isabel;Morales;Salgado;M;isabel.morales;467854;isabel.morales@email.es;14/09/1994;25;No aplica;NO;4;77;0;Inactivo;
212;Sergio;Moya;Moral;H;moya67;470076;moya67@correo.net;19/03/1936;83;129,26;No aplica;13;9;0;Inactivo;
213;�?ngeles;Casado;López;M;a.casado;472298;a.casado@email.net;30/10/1948;71;No aplica;NO;94;54;8;Inactivo;
214;Jaume;Ferri;Moreno;H;jaumeferri;474520;jaumeferri@email.es;31/01/1947;72;616,92;No aplica;17;49;0;Disponible;
215;Ana;Alarcón;Lujan;M;anaalarcon;476742;anaalarcon@email.com;14/12/1996;22;No aplica;NO;62;83;5;Inactivo;
216;Rosa;Pons;Ramos;M;rpons;478964;rpons@mail.es;9/07/1993;26;No aplica;SI;47;66;4;Inactivo;
217;Adrián;Rey;Quintanilla;H;adr.rey;481186;adr.rey@correo.net;21/11/1968;50;698,55;No aplica;71;71;0;Disponible;
218;Rosario;Ramírez;Lago;M;rosarioramirez;483408;rosarioramirez@correo.com;12/07/1937;82;No aplica;SI;30;58;1;Disponible;
219;Carmen;Martínez;Rodríguez;M;cmartinez;485630;cmartinez@correo.net;5/06/1992;27;No aplica;NO;83;26;0;Inactivo;
220;Rosa María;Chamorro;Lago;M;roschamorro;487852;roschamorro@correo.net;22/11/1959;59;No aplica;SI;15;24;0;Disponible;
221;María;Cid;Gómez;M;marcid;490074;marcid@mail.es;27/02/1985;34;No aplica;SI;31;31;1;Inactivo;
222;Manuel;Castaño;Diez;H;castaño2;492296;castaño2@correo.com;24/07/1979;40;943,71;No aplica;47;7;0;Inactivo;
223;María Dolores;Rosa;García;M;m.rosa;494518;m.rosa@email.com;30/07/1943;76;No aplica;NO;5;59;0;Inactivo;
224;Marta;García;González;M;margarcia96;496740;margarcia96@mail.net;6/07/1962;57;No aplica;SI;50;84;7;Inactivo;
225;Javier;Rico;López;H;jrico;498962;jrico@email.es;8/12/1982;36;366,55;No aplica;23;98;1;Disponible;
226;Mohamed;Moreno;Rodríguez;H;mohamedmoreno47;501184;mohamedmoreno47@mail.com;11/07/1944;75;648,21;No aplica;34;77;4;Inactivo;
227;Diego;Alfaro;Sánchez;H;alfaro21;503406;alfaro21@email.net;8/04/1969;50;419,6;No aplica;5;36;0;Inactivo;
228;Ignacio;Hernández;Aznar;H;hernandez7;505628;hernandez7@correo.net;16/07/1954;65;604,63;No aplica;76;24;3;Inactivo;
229;Jesús;Gutiérrez;Fernández;H;gutierrez88;507850;gutierrez88@mail.es;19/02/1982;37;313,43;No aplica;90;78;9;Disponible;
230;Josefa;García;Sánchez;M;josefagarcia;510072;josefagarcia@email.net;26/05/1963;56;No aplica;SI;33;74;5;Inactivo;
231;María Jesús;Escalera;Fernández;M;mariajesusescalera54;512294;mariajesusescalera54@email.com;26/11/1940;78;No aplica;NO;30;51;5;Inactivo;
232;María Isabel;Reyes;García;M;marireyes;514516;marireyes@email.es;9/11/1961;57;No aplica;SI;45;84;7;Disponible;
233;María Jesús;Marín;Poza;M;m.marin;516738;m.marin@correo.net;30/11/1964;54;No aplica;NO;76;61;0;Inactivo;
234;Antonia;López;Román;M;antonialopez40;518960;antonialopez40@mail.es;18/08/1952;67;No aplica;NO;35;83;1;Disponible;
235;José Antonio;Ruiz;Iglesias;H;josruiz29;521182;josruiz29@mail.es;24/03/1960;59;973,23;No aplica;83;18;1;Disponible;
236;Carlos;Pérez;Varela;H;perez71;523404;perez71@mail.com;1/08/1954;65;875,73;No aplica;95;96;14;Disponible;
237;Antonio;Benavent;Pérez;H;abenavent;525626;abenavent@mail.es;16/05/1936;83;784,4;No aplica;62;29;2;Inactivo;
238;María;Toledo;González;M;mariatoledo;527848;mariatoledo@mail.net;29/07/1964;55;No aplica;SI;44;34;3;Inactivo;
239;Pilar;Macías;Carmona;M;pilmacias;530070;pilmacias@email.es;21/12/1953;65;No aplica;SI;52;94;5;Disponible;
240;Irene;Torres;García;M;itorres;532292;itorres@correo.es;4/05/1961;58;No aplica;NO;19;93;0;Inactivo;
241;Francisco Javier;Martin;Ros;H;franciscojaviermartin18;534514;franciscojaviermartin18@mail.net;8/07/1979;40;776,17;No aplica;2;77;0;Disponible;
242;Miguel �?ngel;Peña;Rodríguez;H;migpeña;536736;migpeña@email.net;13/08/1956;63;709,33;No aplica;93;63;9;Inactivo;
243;Antonio;Parra;Hinojosa;H;antonioparra1;538958;antonioparra1@correo.es;16/02/1998;21;878,38;No aplica;95;100;13;Inactivo;
244;Carlos;De la Fuente;López;H;d57;541180;d57@mail.es;17/05/1997;22;946,24;No aplica;26;73;4;Disponible;
245;Nuria;Salguero;Rodríguez;M;nuria.salguero;543402;nuria.salguero@correo.com;16/11/1939;79;No aplica;SI;63;16;1;Disponible;
246;Jesús;Mansilla;García;H;j.mansilla;545624;j.mansilla@mail.es;24/02/1944;75;158,26;No aplica;4;31;0;Disponible;
247;Amparo;Plata;Berrio;M;amp.plata;547846;amp.plata@correo.es;8/01/1969;50;No aplica;SI;33;80;4;Inactivo;
248;�?ngel;Alonso;Muñoz;H;angel.alonso;550068;angel.alonso@mail.net;6/11/1940;78;274,24;No aplica;96;34;5;Inactivo;
249;Antonia;Salazar;Pascual;M;antsalazar71;552290;antsalazar71@correo.net;28/09/1975;44;No aplica;NO;37;21;3;Inactivo;
250;Antonio;Cervera;Jiménez;H;acervera89;554512;acervera89@correo.es;25/08/1947;72;456,38;No aplica;11;19;1;Inactivo;
251;María Teresa;Stoica;López;M;mar.stoica;556734;mar.stoica@email.com;12/10/1945;74;No aplica;NO;46;39;5;Inactivo;
252;Susana;Pérez;González;M;susana.perez;558956;susana.perez@correo.net;2/03/1952;67;No aplica;NO;34;51;5;Disponible;
253;Pablo;Cortes;Mora;H;pabcortes95;561178;pabcortes95@email.com;25/03/1981;38;248,45;No aplica;82;42;6;Inactivo;
254;Marta;Yáñez;Moya;M;martayañez;563400;martayañez@email.es;2/05/1980;39;No aplica;NO;78;78;4;Disponible;
255;María;Mateos;Merino;M;mmateos;565622;mmateos@mail.net;14/09/1941;78;No aplica;SI;55;8;0;Disponible;
256;Teresa;García;Rodríguez;M;garcia50;567844;garcia50@correo.com;22/11/1970;48;No aplica;SI;75;60;8;Disponible;
257;Irene;�?lvarez;Santana;M;irene.alvarez;570066;irene.alvarez@email.es;20/11/1991;27;No aplica;NO;24;3;0;Inactivo;
258;Francisco;Román;González;H;roman43;572288;roman43@email.com;23/12/1943;75;276,39;No aplica;93;57;0;Inactivo;
259;�?ngel;García;Montero;H;garcia20;574510;garcia20@email.es;20/03/1976;43;498,74;No aplica;7;12;1;Inactivo;
260;María Carmen;García;Serrano;M;mariacarmengarcia43;576732;mariacarmengarcia43@email.net;19/07/1985;34;No aplica;SI;80;33;3;Inactivo;
261;Amparo;Mejías;Alarcón;M;amejias;578954;amejias@mail.com;17/04/1943;76;No aplica;NO;24;49;0;Disponible;
262;Carmen;Martínez;Doval;M;car.martinez;581176;car.martinez@email.es;24/02/1939;80;No aplica;NO;36;14;0;Inactivo;
263;Antonio;Calvo;Ordoñez;H;acalvo;583398;acalvo@email.es;10/05/1989;30;394,87;No aplica;75;10;0;Inactivo;
264;Ana;Fernández;Mas;M;fernandez61;585620;fernandez61@correo.com;5/09/1985;34;No aplica;NO;7;51;1;Inactivo;
265;Daniel;Fernández;Salazar;H;d.fernandez;587842;d.fernandez@email.es;25/10/1943;76;195,22;No aplica;39;36;0;Inactivo;
266;José Luis;Ortega;Herrera;H;jos.ortega;590064;jos.ortega@email.net;27/03/1963;56;248,42;No aplica;62;47;5;Inactivo;
267;Mónica;Carrasco;Escribano;M;monica.carrasco;592286;monica.carrasco@correo.com;10/02/1968;51;No aplica;NO;96;93;6;Inactivo;
268;José Luis;Rosell;González;H;jrosell;594508;jrosell@mail.com;28/02/1965;54;285,61;No aplica;71;34;4;Disponible;
269;María;�?lvarez;Ramón;M;malvarez;596730;malvarez@email.es;5/10/1954;65;No aplica;NO;40;68;3;Disponible;
270;Manuel;Fernández;Dueñas;H;manuelfernandez5;598952;manuelfernandez5@mail.net;24/12/1992;26;267,8;No aplica;88;89;14;Disponible;
271;José;Cabeza;Fernández;H;jos.cabeza;601174;jos.cabeza@email.com;10/04/1997;22;94,18;No aplica;25;51;4;Disponible;
272;Pablo;Alonso;Rius;H;palonso65;603396;palonso65@email.es;24/01/1947;72;523,8;No aplica;14;9;0;Inactivo;
273;Antonio;Pinto;Herrera;H;pinto87;605618;pinto87@email.com;4/09/1964;55;53,74;No aplica;49;45;4;Inactivo;
274;Beatriz;Pérez;Hernández;M;bperez87;607840;bperez87@mail.com;11/05/1986;33;No aplica;NO;86;74;12;Disponible;
275;Antonio;Ruiz;Vicente;H;antruiz;610062;antruiz@email.es;3/07/2001;18;462,1;No aplica;14;11;0;Disponible;
276;Juan Antonio;López;García;H;lopez67;612284;lopez67@mail.net;15/04/1994;25;481,66;No aplica;71;96;5;Disponible;
277;María;Martin;García;M;martin99;614506;martin99@mail.com;23/04/1959;60;No aplica;NO;31;37;0;Disponible;
278;José;Ortiz;Martínez;H;josortiz;616728;josortiz@email.net;2/09/1977;42;851,1;No aplica;41;6;1;Inactivo;
279;María Magdalena;Llopis;Alba;M;mariamagdalena.llopis;618950;mariamagdalena.llopis@email.com;15/04/1937;82;No aplica;NO;87;1;0;Disponible;
280;�?lvaro;Fernández;García;H;alvarofernandez;621172;alvarofernandez@mail.net;14/06/1977;42;76,86;No aplica;74;6;1;Inactivo;
281;Rafael;Casal;Sánchez;H;rafael.casal;623394;rafael.casal@correo.net;26/07/1937;82;716,21;No aplica;97;17;2;Inactivo;
282;Laura;Sánchez;De la Torre;M;lau.sanchez;625616;lau.sanchez@correo.net;19/04/1949;70;No aplica;SI;100;18;3;Inactivo;
283;María Mar;Espinosa;Blanco;M;m.espinosa;627838;m.espinosa@correo.net;27/12/1980;38;No aplica;NO;58;28;0;Inactivo;
284;Javier;Mesa;Expósito;H;mesa38;630060;mesa38@mail.com;21/11/1994;24;713,48;No aplica;24;9;1;Inactivo;
285;Jorge;De la Calle;Fernández;H;jordelacalle55;632282;jordelacalle55@email.net;26/11/1959;59;618,65;No aplica;42;78;3;Inactivo;
286;María José;Fernández;Cruz;M;mari.fernandez;634504;mari.fernandez@email.com;18/09/1968;51;No aplica;SI;88;63;3;Disponible;
287;Alberto;Segovia;Fernández;H;segovia57;636726;segovia57@email.net;15/11/1953;65;732,79;No aplica;30;46;3;Disponible;
288;María;Manzano;Martin;M;manzano55;638948;manzano55@correo.es;2/06/1969;50;No aplica;SI;24;28;2;Inactivo;
289;Ana;Márquez;Ruiz;M;anamarquez;641170;anamarquez@correo.es;15/02/1941;78;No aplica;NO;37;32;2;Disponible;
290;Pedro;Moreno;Martin;H;pmoreno40;643392;pmoreno40@mail.com;13/11/1951;67;120,69;No aplica;18;23;0;Disponible;
291;Isabel;Martínez;Vidal;M;isamartinez;645614;isamartinez@email.com;21/06/1956;63;No aplica;NO;38;9;1;Disponible;
292;Jesús;Nieto;Sánchez;H;jesnieto89;647836;jesnieto89@mail.com;8/10/1976;43;684,08;No aplica;57;36;5;Inactivo;
293;María Jesús;Martí;González;M;marmarti;650058;marmarti@email.com;12/09/1962;57;No aplica;NO;34;98;5;Disponible;
294;David;Castellanos;Rubio;H;davidcastellanos;652280;davidcastellanos@mail.com;6/02/1944;75;157,78;No aplica;68;60;10;Inactivo;
295;José;Bernabé;Del Hoyo;H;jose.bernabe;654502;jose.bernabe@correo.es;9/12/1939;79;169,19;No aplica;52;11;1;Inactivo;
296;María Dolores;Peiro;Pérez;M;marpeiro;656724;marpeiro@correo.es;1/09/1945;74;No aplica;NO;86;76;0;Inactivo;
297;Pedro;Buendía;Aguilar;H;buendia96;658946;buendia96@correo.es;20/02/1949;70;204,23;No aplica;73;70;2;Inactivo;
298;Javier;López;López;H;javierlopez;661168;javierlopez@correo.com;15/03/1981;38;443,07;No aplica;68;48;2;Disponible;
299;María;Lázaro;Marín;M;mar.lazaro;663390;mar.lazaro@correo.com;13/08/1948;71;No aplica;SI;62;69;8;Disponible;
300;María;Gallardo;Sánchez;M;mariagallardo24;665612;mariagallardo24@email.net;16/06/1958;61;No aplica;NO;11;6;1;Inactivo;
301;Rubén;Córdoba;Benavides;H;rub.cordoba;667834;rub.cordoba@mail.com;28/03/1971;48;244,12;No aplica;97;38;6;Inactivo;
302;Manuel;Torres;Hernández;H;mantorres16;670056;mantorres16@correo.es;13/06/1935;84;506,12;No aplica;66;3;0;Disponible;
303;Luis;Moreno;Martínez;H;luismoreno17;672278;luismoreno17@mail.es;17/08/1991;28;668,37;No aplica;11;20;0;Disponible;
304;Raquel;Murillo;Ferreiro;M;murillo61;674500;murillo61@mail.net;28/12/1988;30;No aplica;NO;76;45;2;Inactivo;
305;María Rosa;Acosta;Muñoz;M;macosta;676722;macosta@email.es;13/06/1983;36;No aplica;NO;23;97;2;Inactivo;
306;Juana;Tomas;Muñoz;M;juana.tomas;678944;juana.tomas@correo.es;14/01/1981;38;No aplica;NO;64;69;5;Inactivo;
307;María Pilar;Toledo;Ortega;M;mariapilartoledo;681166;mariapilartoledo@email.com;7/03/1995;24;No aplica;SI;4;26;0;Disponible;
308;Manuel;Colomer;Castro;H;manuelcolomer74;683388;manuelcolomer74@email.com;27/07/1984;35;728,51;No aplica;54;42;1;Disponible;
309;Ramón;Murillo;Martínez;H;rmurillo;685610;rmurillo@email.net;3/04/1969;50;784,14;No aplica;38;61;4;Inactivo;
310;Josep María;Pico;Fernández;H;josepmariapico;687832;josepmariapico@correo.es;14/12/1984;34;826,28;No aplica;78;25;4;Inactivo;
311;Marina;Redondo;Macías;M;redondo45;690054;redondo45@mail.com;5/07/1994;25;No aplica;SI;63;64;5;Inactivo;
312;Manuel;Márquez;García;H;manmarquez;692276;manmarquez@email.es;6/10/1947;72;903,39;No aplica;52;5;0;Inactivo;
313;Dolores;Arguello;Parejo;M;dol.arguello;694498;dol.arguello@mail.com;8/10/1950;69;No aplica;SI;63;2;0;Inactivo;
314;Laura;Prieto;Clemente;M;lauraprieto;696720;lauraprieto@mail.net;2/09/1969;50;No aplica;SI;31;31;0;Inactivo;
315;María Teresa;López;Redondo;M;marilopez47;698942;marilopez47@email.com;20/11/1936;82;No aplica;NO;22;41;2;Inactivo;
316;María Dolores;Castejón;Bas;M;marcastejon;701164;marcastejon@mail.net;27/01/1944;75;No aplica;SI;8;17;0;Inactivo;
317;Jorge;Domingo;Arenas;H;jordomingo;703386;jordomingo@mail.net;16/08/1968;51;219,57;No aplica;80;5;0;Disponible;
318;Fernando;Martínez;Pérez;H;fermartinez;705608;fermartinez@mail.es;25/11/1952;66;794,14;No aplica;35;25;2;Disponible;
319;Eva;Villa;Rodríguez;M;evavilla;707830;evavilla@email.net;19/07/1974;45;No aplica;SI;61;83;7;Inactivo;
320;Josep;Sánchez;García;H;jossanchez;710052;jossanchez@email.es;8/11/1974;44;560,47;No aplica;25;91;1;Inactivo;
321;Enrique;Muñoz;Sánchez;H;enr.muñoz;712274;enr.muñoz@email.net;20/06/1961;58;825,23;No aplica;4;23;0;Inactivo;
322;María Luisa;Camacho;Mena;M;marialuisacamacho;714496;marialuisacamacho@mail.es;10/07/1953;66;No aplica;NO;48;13;0;Inactivo;
323;Marta;Baz;Gómez;M;mbaz22;716718;mbaz22@correo.net;22/06/2001;18;No aplica;SI;5;70;0;Inactivo;
324;Francisco;Tamayo;Rodríguez;H;tamayo7;718940;tamayo7@mail.com;1/07/1976;43;126,44;No aplica;71;69;0;Inactivo;
325;Joan;Sebastia;Martínez;H;jsebastia71;721162;jsebastia71@email.com;4/08/1961;58;799,92;No aplica;9;85;1;Inactivo;
326;María;Lara;Mellado;M;marialara;723384;marialara@email.es;21/06/1946;73;No aplica;SI;83;11;1;Inactivo;
327;Rubén;Rodríguez;Palomo;H;rubenrodriguez91;725606;rubenrodriguez91@correo.es;11/09/1961;58;460,92;No aplica;99;67;1;Inactivo;
328;Rosa;García;Aznar;M;garcia91;727828;garcia91@mail.net;30/10/1961;58;No aplica;NO;57;80;1;Disponible;
329;Eva María;Serra;Mato;M;evaserra;730050;evaserra@correo.net;14/06/1949;70;No aplica;SI;26;46;3;Inactivo;
330;Enrique;García;Domínguez;H;enrgarcia;732272;enrgarcia@correo.net;11/07/1990;29;135,83;No aplica;62;42;5;Disponible;
331;Julia;Santamaría;Pérez;M;jsantamaria;734494;jsantamaria@correo.es;29/10/1982;37;No aplica;SI;56;31;5;Disponible;
332;Susana;Campos;Mendoza;M;campos37;736716;campos37@mail.es;18/01/1985;34;No aplica;NO;82;14;1;Disponible;
333;María Carmen;Marín;González;M;marin17;738938;marin17@correo.net;20/11/1961;57;No aplica;SI;82;23;0;Inactivo;
334;Rocío;Ortega;Casanova;M;rortega;741160;rortega@mail.es;23/10/1961;58;No aplica;SI;72;53;8;Inactivo;
335;Laura;Frutos;Alonso;M;frutos59;743382;frutos59@email.com;6/12/1993;25;No aplica;NO;12;89;2;Inactivo;
336;María José;Romero;Sánchez;M;mariromero;745604;mariromero@correo.es;14/02/1954;65;No aplica;SI;49;98;0;Disponible;
337;�?ngeles;Gimeno;Lloret;M;angelesgimeno;747826;angelesgimeno@email.com;23/09/2001;18;No aplica;SI;100;98;5;Inactivo;
338;María Carmen;Sánchez;Molina;M;marsanchez67;750048;marsanchez67@mail.com;20/08/1960;59;No aplica;NO;15;56;2;Disponible;
339;Santiago;Estévez;Vargas;H;santiagoestevez10;752270;santiagoestevez10@mail.net;1/02/1960;59;838,21;No aplica;94;60;4;Inactivo;
340;Fernando;Bilbao;Bas;H;bilbao58;754492;bilbao58@correo.net;9/08/1947;72;712,91;No aplica;57;41;3;Inactivo;
341;Francisca;Ballesteros;Ruiz;M;fballesteros;756714;fballesteros@email.net;11/03/1936;83;No aplica;NO;4;87;0;Disponible;
342;Dolores;Martínez;Arellano;M;d.martinez;758936;d.martinez@mail.es;17/03/1978;41;No aplica;SI;100;9;1;Inactivo;
343;José Luis;Novo;Cuervo;H;josnovo;761158;josnovo@correo.com;23/09/1986;33;886,52;No aplica;65;16;0;Disponible;
344;Pilar;Urbano;López;M;pilarurbano;763380;pilarurbano@mail.es;20/02/1963;56;No aplica;NO;53;72;6;Inactivo;
345;Ramón;Zamora;Llorente;H;rzamora5;765602;rzamora5@mail.net;18/01/1939;80;886,65;No aplica;30;81;2;Inactivo;
346;José Manuel;Mateos;Guillen;H;josmateos;767824;josmateos@correo.com;20/04/1972;47;786,67;No aplica;60;66;10;Inactivo;
347;Juan;Rodríguez;Domínguez;H;juarodriguez;770046;juarodriguez@mail.net;9/02/1966;53;388,48;No aplica;55;65;6;Inactivo;
348;Manuel;Canal;León;H;mancanal;772268;mancanal@email.com;27/02/1992;27;107,1;No aplica;92;72;2;Disponible;
349;Juan;Duran;Pulido;H;jduran;774490;jduran@correo.net;10/01/1962;57;691,97;No aplica;100;34;0;Inactivo;
350;Isabel;Delgado;Carretero;M;isa.delgado;776712;isa.delgado@correo.net;3/03/1940;79;No aplica;SI;65;59;0;Disponible;
351;Mónica;Notario;Quintana;M;mnotario67;778934;mnotario67@mail.net;3/12/1950;68;No aplica;SI;87;33;5;Disponible;
352;Begoña;Hernández;Méndez;M;hernandez18;781156;hernandez18@correo.net;21/11/1967;51;No aplica;SI;54;82;9;Disponible;
353;Francisca;Calvo;Fernández;M;fracalvo;783378;fracalvo@correo.com;31/01/1945;74;No aplica;NO;70;56;8;Inactivo;
354;Marta;Marcos;Hernández;M;martamarcos94;785600;martamarcos94@correo.com;10/07/1964;55;No aplica;SI;87;89;3;Inactivo;
355;Luis;Jordán;Moreno;H;luisjordan;787822;luisjordan@correo.com;7/09/1958;61;606,33;No aplica;54;20;0;Inactivo;
356;María;González;Carmona;M;mgonzalez83;790044;mgonzalez83@mail.net;13/10/1977;42;No aplica;NO;63;61;9;Disponible;
357;Isabel;Moreno;Suarez;M;isabelmoreno;792266;isabelmoreno@email.es;17/11/1935;83;No aplica;NO;33;90;5;Inactivo;
358;Sonia;López;Salas;M;sonlopez86;794488;sonlopez86@email.es;28/09/1938;81;No aplica;SI;62;27;3;Inactivo;
359;José;Bautista;Doblas;H;josbautista76;796710;josbautista76@email.com;13/04/1957;62;775,37;No aplica;36;19;0;Disponible;
360;María Carmen;Gregorio;Carbonell;M;gregorio5;798932;gregorio5@correo.es;24/03/1958;61;No aplica;SI;41;13;0;Inactivo;
361;Montserrat;Marcos;Gutiérrez;M;mmarcos29;801154;mmarcos29@mail.es;20/04/1985;34;No aplica;SI;2;4;0;Inactivo;
362;Javier;Ibarra;Rubio;H;javieribarra;803376;javieribarra@mail.es;27/03/1935;84;510,62;No aplica;62;99;1;Disponible;
363;María Teresa;Báez;Higuera;M;mbaez;805598;mbaez@email.es;3/10/1947;72;No aplica;SI;55;47;6;Disponible;
364;Eduardo;Caballero;Lara;H;edu.caballero;807820;edu.caballero@mail.net;26/10/1951;68;616,79;No aplica;34;84;3;Disponible;
365;Ana Isabel;Diez;Llop;M;andiez31;810042;andiez31@mail.com;5/09/1997;22;No aplica;SI;100;80;0;Inactivo;
366;Sergio;Díaz;Simón;H;sergiodiaz46;812264;sergiodiaz46@correo.com;30/09/1936;83;442,93;No aplica;12;91;2;Disponible;
367;Isabel;Valls;Corbacho;M;valls41;814486;valls41@mail.net;17/12/1993;25;No aplica;NO;90;90;8;Disponible;
368;Isabel;Fernández;Amador;M;isabelfernandez80;816708;isabelfernandez80@mail.com;29/10/1947;72;No aplica;NO;41;76;4;Inactivo;
369;Fernando;Mateos;Quintero;H;f.mateos;818930;f.mateos@email.es;3/01/1948;71;655,08;No aplica;80;12;0;Inactivo;
370;Silvia;Méndez;González;M;silviamendez;821152;silviamendez@mail.net;2/05/1992;27;No aplica;SI;15;49;1;Inactivo;
371;José Luis;Miñana;Hernández;H;jos.miñana;823374;jos.miñana@mail.com;6/10/1984;35;769,65;No aplica;94;15;0;Disponible;
372;Inmaculada;González;Cano;M;inmaculadagonzalez;825596;inmaculadagonzalez@mail.net;13/11/1976;42;No aplica;NO;84;45;2;Disponible;
373;Lucia;Aguilar;Gutiérrez;M;laguilar;827818;laguilar@mail.com;6/06/1947;72;No aplica;NO;31;25;3;Inactivo;
374;�?lvaro;Rodríguez;Molina;H;rodriguez78;830040;rodriguez78@correo.net;23/02/1982;37;412,41;No aplica;47;96;7;Disponible;
375;José Luis;Sáez;Soto;H;j.saez;832262;j.saez@correo.com;6/03/1974;45;649,02;No aplica;55;74;4;Inactivo;
376;Rafael;Da Costa;Sánchez;H;d17;834484;d17@correo.com;27/10/1953;66;194,99;No aplica;13;93;0;Inactivo;
377;Concepción;García;Matas;M;garcia11;836706;garcia11@correo.es;28/11/1958;60;No aplica;NO;22;84;3;Inactivo;
378;María Luisa;Montes;Rojas;M;mmontes72;838928;mmontes72@email.net;31/10/1939;79;No aplica;NO;3;81;0;Inactivo;
379;Francisca;Pérez;Barrera;M;fraperez;841150;fraperez@mail.com;23/08/1981;38;No aplica;SI;37;69;2;Disponible;
380;María Carmen;Ros;Vicens;M;mariros;843372;mariros@mail.es;8/01/1967;52;No aplica;NO;94;74;8;Disponible;
381;Manuel;Pastor;Delgado;H;manuelpastor;845594;manuelpastor@correo.net;22/12/1993;25;792,2;No aplica;7;3;0;Disponible;
382;María Teresa;Luque;Enríquez;M;marluque;847816;marluque@mail.es;7/03/1946;73;No aplica;NO;46;39;5;Inactivo;
383;Jesús;Porras;Toscano;H;jesus.porras;850038;jesus.porras@mail.es;19/11/1941;77;835,97;No aplica;68;97;2;Disponible;
384;Jesús;Cabello;Alfonso;H;j.cabello;852260;j.cabello@correo.es;19/07/1945;74;797,02;No aplica;43;3;0;Inactivo;
385;�?ngela;�?lvarez;Fernández;M;angalvarez;854482;angalvarez@mail.net;6/02/1942;77;No aplica;NO;8;73;1;Inactivo;
386;José;Duran;Diz;H;jose.duran;856704;jose.duran@email.net;7/01/1973;46;288,18;No aplica;26;62;2;Disponible;
387;Pedro;Suarez;Moran;H;pedrosuarez;858926;pedrosuarez@email.net;10/11/1937;81;122,92;No aplica;22;11;1;Inactivo;
388;Josefa;Vidal;Portillo;M;josefa.vidal;861148;josefa.vidal@mail.net;20/07/1956;63;No aplica;SI;60;50;8;Disponible;
389;Manuela;Díaz;López;M;mandiaz;863370;mandiaz@email.es;4/02/1971;48;No aplica;NO;35;20;1;Disponible;
390;Javier;Madrid;Arroyo;H;jav.madrid;865592;jav.madrid@correo.net;4/01/1966;53;607,96;No aplica;37;85;1;Disponible;
391;José;Martínez;Lorente;H;josemartinez100;867814;josemartinez100@mail.es;9/02/1941;78;192,77;No aplica;65;36;5;Inactivo;
392;Enrique;Merino;Hernández;H;e.merino;870036;e.merino@mail.com;14/01/1937;82;116,04;No aplica;34;55;2;Disponible;
393;Yolanda;Acero;Núñez;M;acero75;872258;acero75@mail.com;7/03/1963;56;No aplica;SI;27;21;3;Disponible;
394;Laura;Pereira;Pascual;M;pereira33;874480;pereira33@email.com;19/02/1965;54;No aplica;NO;92;52;1;Inactivo;
395;Roberto;Benítez;Torres;H;robbenitez40;876702;robbenitez40@mail.net;11/10/1979;40;626,06;No aplica;27;36;2;Inactivo;
396;Salvador;Jordán;Rodríguez;H;saljordan;878924;saljordan@email.es;17/08/1941;78;961;No aplica;22;62;1;Inactivo;
397;Manuela;Rojo;Guillen;M;manuelarojo64;881146;manuelarojo64@mail.com;5/01/1982;37;No aplica;SI;23;100;1;Inactivo;
398;Rocío;Fernández;Rodríguez;M;rociofernandez;883368;rociofernandez@mail.com;27/01/1989;30;No aplica;NO;79;55;9;Disponible;
399;Francisco;Recuero;De las Heras;H;franciscorecuero;885590;franciscorecuero@mail.net;14/09/1939;80;360,95;No aplica;2;63;0;Disponible;
400;�?ngel;Arango;Alsina;H;angel.arango;887812;angel.arango@email.es;17/05/1951;68;543,47;No aplica;3;93;0;Disponible;
401;Francisca;Conde;González;M;fraconde;890034;fraconde@mail.net;9/12/1959;59;No aplica;SI;16;8;0;Disponible;
